Date,@attributes.createdAt,message,attributes,attributes.indexName,attributes.jobID,@attributes.planID,@attributes.shardID,@attributes.shardType,attributes.appID,Message
"2024-04-10T11:11:02.686Z","""2024-04-10T10:45:22.201896Z""","""oldest pending job is 25m40.485074031s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T10:45:22.201896Z"",""jobID"":2270311974,""indexName"":""lc_prod_ct_products"",""appID"":""4K4ZN64X03"",""shardID"":""sh-2377518-1"",""planID"":2377518,""shardType"":""keyword""},""timestamp"":""2024-04-10T11:11:02.686987123Z""}","""lc_prod_ct_products""","2270311974","2377518","""sh-2377518-1""","""keyword""","""4K4ZN64X03""","oldest pending job is 25m40.485074031s"
"2024-04-10T11:10:03.480Z","""2024-04-10T10:45:22.201896Z""","""oldest pending job is 24m41.278499407s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T10:45:22.201896Z"",""jobID"":2270311974,""indexName"":""lc_prod_ct_products"",""appID"":""4K4ZN64X03"",""shardID"":""sh-2377518-1"",""planID"":2377518,""shardType"":""keyword""},""timestamp"":""2024-04-10T11:10:03.480414562Z""}","""lc_prod_ct_products""","2270311974","2377518","""sh-2377518-1""","""keyword""","""4K4ZN64X03""","oldest pending job is 24m41.278499407s"
"2024-04-10T11:09:02.526Z","""2024-04-10T10:45:22.201896Z""","""oldest pending job is 23m40.324503697s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T10:45:22.201896Z"",""jobID"":2270311974,""indexName"":""lc_prod_ct_products"",""appID"":""4K4ZN64X03"",""shardID"":""sh-2377518-1"",""planID"":2377518,""shardType"":""keyword""},""timestamp"":""2024-04-10T11:09:02.526415995Z""}","""lc_prod_ct_products""","2270311974","2377518","""sh-2377518-1""","""keyword""","""4K4ZN64X03""","oldest pending job is 23m40.324503697s"
"2024-04-10T11:08:02.948Z","""2024-04-10T10:45:22.201896Z""","""oldest pending job is 22m40.746396104s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T10:45:22.201896Z"",""jobID"":2270311974,""indexName"":""lc_prod_ct_products"",""appID"":""4K4ZN64X03"",""shardID"":""sh-2377518-1"",""planID"":2377518,""shardType"":""keyword""},""timestamp"":""2024-04-10T11:08:02.948311438Z""}","""lc_prod_ct_products""","2270311974","2377518","""sh-2377518-1""","""keyword""","""4K4ZN64X03""","oldest pending job is 22m40.746396104s"
"2024-04-10T11:07:02.817Z","""2024-04-10T10:45:22.201896Z""","""oldest pending job is 21m40.615236893s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T10:45:22.201896Z"",""jobID"":2270311974,""indexName"":""lc_prod_ct_products"",""appID"":""4K4ZN64X03"",""shardID"":""sh-2377518-1"",""planID"":2377518,""shardType"":""keyword""},""timestamp"":""2024-04-10T11:07:02.817155208Z""}","""lc_prod_ct_products""","2270311974","2377518","""sh-2377518-1""","""keyword""","""4K4ZN64X03""","oldest pending job is 21m40.615236893s"
"2024-04-10T11:06:02.803Z","""2024-04-10T10:45:22.201896Z""","""oldest pending job is 20m40.601732123s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T10:45:22.201896Z"",""jobID"":2270311974,""indexName"":""lc_prod_ct_products"",""appID"":""4K4ZN64X03"",""shardID"":""sh-2377518-1"",""planID"":2377518,""shardType"":""keyword""},""timestamp"":""2024-04-10T11:06:02.803659422Z""}","""lc_prod_ct_products""","2270311974","2377518","""sh-2377518-1""","""keyword""","""4K4ZN64X03""","oldest pending job is 20m40.601732123s"
"2024-04-10T11:05:03.479Z","""2024-04-10T10:45:22.201896Z""","""oldest pending job is 19m41.277615961s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T10:45:22.201896Z"",""jobID"":2270311974,""indexName"":""lc_prod_ct_products"",""appID"":""4K4ZN64X03"",""shardID"":""sh-2377518-1"",""planID"":2377518,""shardType"":""keyword""},""timestamp"":""2024-04-10T11:05:03.479532032Z""}","""lc_prod_ct_products""","2270311974","2377518","""sh-2377518-1""","""keyword""","""4K4ZN64X03""","oldest pending job is 19m41.277615961s"
"2024-04-10T11:04:02.364Z","""2024-04-10T10:43:56.073673Z""","""oldest pending job is 20m6.291234058s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T10:43:56.073673Z"",""jobID"":2270292227,""indexName"":""lc_prod_ct_products"",""appID"":""4K4ZN64X03"",""shardID"":""sh-2377523-1"",""planID"":2377523,""shardType"":""keyword""},""timestamp"":""2024-04-10T11:04:02.364925798Z""}","""lc_prod_ct_products""","2270292227","2377523","""sh-2377523-1""","""keyword""","""4K4ZN64X03""","oldest pending job is 20m6.291234058s"
"2024-04-10T11:03:02.524Z","""2024-04-10T10:43:56.073673Z""","""oldest pending job is 19m6.450907042s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T10:43:56.073673Z"",""jobID"":2270292227,""indexName"":""lc_prod_ct_products"",""appID"":""4K4ZN64X03"",""shardID"":""sh-2377523-1"",""planID"":2377523,""shardType"":""keyword""},""timestamp"":""2024-04-10T11:03:02.524600883Z""}","""lc_prod_ct_products""","2270292227","2377523","""sh-2377523-1""","""keyword""","""4K4ZN64X03""","oldest pending job is 19m6.450907042s"
"2024-04-10T11:02:02.437Z","""2024-04-10T10:43:56.073673Z""","""oldest pending job is 18m6.363425956s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T10:43:56.073673Z"",""jobID"":2270292227,""indexName"":""lc_prod_ct_products"",""appID"":""4K4ZN64X03"",""shardID"":""sh-2377523-1"",""planID"":2377523,""shardType"":""keyword""},""timestamp"":""2024-04-10T11:02:02.437124137Z""}","""lc_prod_ct_products""","2270292227","2377523","""sh-2377523-1""","""keyword""","""4K4ZN64X03""","oldest pending job is 18m6.363425956s"
